issuer,card_name,segment,joining_fee_inr,annual_fee_inr,fee_waiver_condition,best_for,reward_structure_summary,lounge_access,forex_markup_pct,notes_source,variant_id,card_code,synthetic_flag
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,499.0,499.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,BASE,SBI_SimplyCLIC_BASE,False
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,499.0,499.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,BASE,SBI_SimplySAVE_BASE,False
SBI Card,Cashback SBI Card,Cashback / Entry-Mid,999.0,999.0,Renewal fee reversal on milestone spend (check latest),Flat cashback on online and offline spends,Higher cashback on online spends; lower rate on offline spends,Limited domestic lounge access on some variants (verify),,Paisabazaar SBI card listing,BASE,SBI_Cashback_S_BASE,False
YES Bank,YES Bank Paisabazaar PaisaSave Credit Card,Cashback / Entry,0.0,499.0,As per YES Bank terms (noted on site),General online spending with uncapped cashback,3% cashback on all online spends; cashback points redeemable 1:1 via YES Rewardz,Not a lounge-focused card,,Paisabazaar best cards list,BASE,YES_YES_Bank_P_BASE,False
HDFC Bank,HDFC Millennia Credit Card,Entry / Online shopping & lifestyle,1000.0,1000.0,Annual fee waiver on minimum spend (check latest SmartBuy T&Cs),"Amazon, Flipkart, Zomato, Swiggy, general online spends",Up to ~5% cashback on key partners; lower rate on other spends,Limited domestic lounge visits per year (depends on variant),,Fello blog comparison table,BASE,HDF_HDFC_Mille_BASE,False
Axis Bank,Axis Bank ACE Credit Card,Entry / Bill payments & everyday spends,499.0,499.0,Annual fee waiver on minimum spend (as per bank T&Cs),Bill payments via Google Pay; everyday online spends,5% cashback on bill payments via Google Pay; ~2% on other spends,Limited complimentary domestic lounges on some variants,,Fello blog comparison table,BASE,AXI_Axis_Bank_BASE,False
HDFC Bank,HDFC MoneyBack+ Credit Card,Entry / Online shopping,500.0,500.0,Annual fee waiver on minimum spend (check latest T&Cs),First-time credit card users with heavy online spend,Up to 10X reward points on select online brands; 5X rewards on EMI spends at select merchants,Generally no lounge access (entry card),,Paisabazaar online shopping cards list,BASE,HDF_HDFC_Money_BASE,False
HDFC Bank,IndianOil HDFC Bank Credit Card,Fuel,,,Annual fee waiver on spend milestone (per bank),Fuel spends at IndianOil outlets + basic groceries/bill payments,"5% back as Fuel Points on IOCL fuel, groceries & bill payments; 1X on other spends; 1% fuel surcharge waiver with caps",Not primarily a lounge card,,BankBazaar fuel credit cards comparison,BASE,HDF_IndianOil_BASE,False
Bank of Baroda,HPCL Bank of Baroda ENERGIE Credit Card,Fuel,,,Annual fee waiver on spend milestone (per bank),"Fuel at HPCL pumps, LPG & HP Pay app users",Up to 5% savings on fuel at HPCL; extra 1.5% via HP Pay; 1% fuel surcharge waiver within limits,Not positioned as lounge card,,BankBazaar fuel card listing,BASE,BAN_HPCL_Bank_BASE,False
IDFC FIRST Bank,IDFC FIRST HPCL Power Credit Card,Fuel / Cashback,,,As per latest IDFC FIRST Bank terms,Fuel at HPCL + general spending with fuel savings,Up to ~5% savings on HPCL fuel; 4% cashback on HPCL fuel plus additional savings via HP Pay,Selected variants may have limited lounge access,,BankBazaar fuel card listing,BASE,IDF_IDFC_FIRST_BASE,False
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,12500.0,12500.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,BASE,HDF_HDFC_Infin_BASE,False
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_001,SBI_SimplyCLIC_001,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_002,SBI_SimplyCLIC_002,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_003,SBI_SimplyCLIC_003,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_004,SBI_SimplyCLIC_004,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_005,SBI_SimplyCLIC_005,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Enhanced cashback weekends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_006,SBI_SimplyCLIC_006,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Extra miles on travel portals,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_007,SBI_SimplyCLIC_007,True
SBI Card,SimplyCLICK SBI Card,Entry / Online shopping,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year",Online shopping and partner merchant offers,10X RP on select online partners; 5X on other online spends; 1X on other spends | Bonus on grocery spends,Typically none (check latest T&Cs),,SBI Card site + Paisabazaar review,VAR_008,SBI_SimplyCLIC_008,True
